trace,kind,round,accuracy,tier,degree,avg_coverage_width,tau_vs_true,symdiff_vs_true,tau_vs_final,symdiff_vs_final,tau_vs_prev,symdiff_vs_prev
#1 uniform,oracle,1,0.111905,insufficient,2,0.833334,0.613332,14,0.544036,12,,
#1 uniform,oracle,2,0.200000,insufficient,2,0.666667,0.647066,6,0.572597,10,0.488814,12
#1 uniform,oracle,3,0.320238,insufficient,2,0.500000,0.640775,6,0.601268,10,0.664658,2
#1 uniform,oracle,4,0.541904,insufficient,2,0.333334,0.688236,4,0.594124,10,0.664791,8
#1 uniform,oracle,5,0.756348,high,2,0.125001,0.768645,6,0.685716,10,0.591191,8
#1 uniform,oracle,6,0.756349,high,2,0.125001,0.793134,10,0.682869,12,0.829471,4
#1 uniform,oracle,7,0.756349,high,2,0.125001,0.792895,10,0.684390,12,0.987040,0
#1 uniform,oracle,8,0.756349,high,2,0.125001,0.792916,10,0.684440,12,0.986787,0
#1 uniform,oracle,9,0.756349,high,2,0.125000,0.807711,6,0.698576,10,0.745747,6
#1 uniform,oracle,10,0.756349,high,2,0.125000,0.797335,2,0.701067,10,0.766388,6
#1 uniform,oracle,11,0.756349,high,2,0.125000,0.798947,2,0.703326,10,0.982884,0
#1 uniform,oracle,12,0.756349,high,2,0.125000,0.815296,2,0.698963,8,0.777860,4
#1 uniform,oracle,13,0.756349,high,2,0.125000,0.799699,2,0.683263,8,0.896184,2
#1 uniform,oracle,14,0.756349,high,2,0.125000,0.789017,8,0.692880,10,0.802856,6
#1 uniform,oracle,15,0.756349,high,2,0.125000,0.762095,4,0.680380,12,0.631313,8
#1 uniform,oracle,16,0.758730,high,2,0.125000,0.760429,4,0.678924,12,0.985148,0
#1 uniform,oracle,17,0.758730,high,2,0.125000,0.768558,4,0.700450,10,0.823183,2
#1 uniform,oracle,18,0.758730,high,2,0.125000,0.761636,4,0.680250,10,0.823734,0
#1 uniform,oracle,19,0.758730,high,2,0.125000,0.760429,4,0.678924,12,0.984602,2
#1 uniform,oracle,20,0.763889,high,2,0.125000,0.768558,4,0.700450,10,0.823183,2
#1 uniform,oracle,21,0.767857,high,2,0.125000,0.760865,4,0.678773,10,0.823657,0
#1 uniform,oracle,22,0.769047,high,2,0.125000,0.833651,6,0.711949,10,0.644743,8
#1 uniform,oracle,23,0.769047,high,2,0.125000,0.834063,6,0.711302,10,0.987962,0
#1 uniform,oracle,24,0.773016,high,2,0.125000,0.698875,8,0.692390,4,0.659169,10
#1 uniform,oracle,25,0.774206,high,2,0.125000,0.715251,4,0.705651,4,0.796440,6
#1 uniform,oracle,26,0.776984,high,2,0.125000,0.698799,8,0.692319,4,0.796188,6
#1 uniform,oracle,27,0.776984,high,2,0.125000,0.715692,4,0.704294,4,0.795469,6
#1 uniform,oracle,28,0.776984,high,2,0.125000,0.737753,12,0.756879,8,0.720677,8
#1 uniform,oracle,29,0.776984,high,2,0.125000,0.699850,8,0.691811,4,0.796383,6
#1 uniform,oracle,30,0.794841,high,2,0.121528,0.698459,8,0.691892,4,0.983741,0
#1 uniform,oracle,31,0.794841,high,3,0.121528,0.714665,4,0.704849,4,0.795713,4
#1 uniform,oracle,32,0.823809,high,3,0.121528,0.894879,4,0.733391,12,0.661034,8
