id,band,album,created_at,db_had_release_group,db_had_artwork,mb_status,live_found_release_group,found_by_shipped_filter,found_by_relaxed_filter,releases_in_group_checked,live_genres,verdict
bea061b0-da0f-477d-892d-7324396ddf69,Sunscorched,Blood of the Badlands,2026-08-29T21:31:51.45791+00:00,true,false,ok,true,false,false,1,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
04d01946-fedb-4509-87b8-c7b1c2d30298,BBC Proms,Fanfare for the Common Man,2026-07-31T20:23:05.973349+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
d88a4bb3-40d6-4ee9-8afd-ea5436a50d14,"Deathspiral of Inherited Suffering, Elysian Blaze, Panegyrist, & Maerund",Sunthema,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
31c3afac-2a8f-4046-89ee-07544f3e2d7a,Heart of the Serpent,Unraveling,2026-07-13T09:32:35.679393+00:00,false,false,ok,true,false,false,1,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
abd104a7-17bc-4b5c-b124-d09bcc4d7f34,Astral Alchemy,Weaving Chilling Magical Dreamworlds,2026-07-13T09:32:35.679393+00:00,false,false,ok,true,true,false,0,black metal,Already fixable today — shipped code should have found this (re-check for a transient failure)
9a87405c-672d-4bd8-b099-402e94882516,TDW,Bane of the Talebearer OST,2026-07-13T09:32:35.679393+00:00,false,false,error,false,false,false,0,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
773cfa15-9674-4214-ae3d-9ecbb5de6ff8,Crying Steel,Agent Steel,2026-07-13T09:32:35.679393+00:00,false,false,ok,true,false,false,1,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
a2566e8c-a9d4-4bb9-9026-045a645621f1,Oak of Weeping,"The Grave My Father, the Worm My Sister",2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
d6f4aba9-fcdb-46f9-ac40-b42331c682c2,Nirriti,Dhrupad Anutpada (ধপদ অন$ৎপ&দ): Apophatic Ragas Of Non-Origination,2026-07-13T09:32:35.679393+00:00,false,false,error,false,false,false,0,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
f6c21e72-2db7-4922-b2ad-e1f1d6095d8a,Solothurn,High Priestess,2026-08-01T20:13:42.851879+00:00,true,false,error,false,false,false,0,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
b5793a3d-d004-43f7-be4e-dd06b39a39c4,EL,The Angelarium,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
6ccae594-c763-4f1b-85e6-a78024ed197d,Sinamort,Breathing Cargo,2026-07-13T09:32:35.679393+00:00,false,false,ok,true,true,false,0,,Already fixable today — shipped code should have found this (re-check for a transient failure)
f6b95d5d-8563-40d6-8f33-267628b888b0,Ruin and Reverie,The Seed of Chaos,2026-07-15T20:48:40.733349+00:00,false,false,error,false,false,false,0,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
f7f42b30-37ae-4764-8244-2ea8c599af41,Hourswill,Ensemble,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
989890cd-8f40-4f91-b8e7-ffe6e998bd16,Under the Myrtles,The Curse Is Broken,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
4a241fa5-985a-4275-b717-997d22aa8ff9,Nine Inch Nails,Nine Inch Noize [Collaboration],2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
6fd82ee4-b625-47d8-a9a8-30d55df603e5,Imperium,Exodus Unknown,2026-07-22T20:24:35.49967+00:00,true,false,ok,true,false,false,0,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
25f32817-33e6-4ba5-8c1c-6bc2cab274f9,Crypts of Golgotha,Disembodied in the Arms of Perdition,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
e9c350af-feed-4a69-a6cd-4180499dcdd7,MΛKE,Exegesis at the End of Time,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
a5ca13e7-e700-4195-8445-1080298349d4,Every Hell,The Peoples Republic of Hell,2026-07-25T20:13:14.456204+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
d5b277f1-125b-4c64-b12e-16e1c5c9df54,Rushadicus,Night of the Jick Beast,2026-08-24T19:30:12.909542+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
3846fd62-230a-43db-a7ec-2d31892cb5d3,Phase Meridian,Egregore,2026-07-13T09:32:35.679393+00:00,true,false,ok,true,false,false,1,sludge metal,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
f142f543-92f9-4518-a6ef-1b56b3a8414a,Hours of Worship,Resignation,2026-07-13T09:32:35.679393+00:00,true,false,ok,true,true,false,0,,Already fixable today — shipped code should have found this (re-check for a transient failure)
39dbf343-118c-4a7f-8ac3-62d205de6430,Complexant,Apex,2026-07-30T09:32:24.925891+00:00,true,false,ok,true,false,false,1,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
be8a25d2-47bf-45f5-9778-7ca4e9518bd1,A World Worth Burning,The Sky Was Colored as Hammered Lead,2026-07-13T09:32:35.679393+00:00,true,false,ok,true,false,false,0,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
42a2b4a0-d08d-4290-841c-eac666929868,Aaron Myers-Brooks,Fictional Planetoids,2026-07-13T09:32:35.679393+00:00,false,false,error,false,false,false,0,,"MB request error even after retry — transient failure, not a real verdict, re-run later"
8592ab64-4e94-47e2-8f52-43a6ffecee50,Namu,Wretched Spawn of Iniquitous Orders,2026-08-13T19:57:33.811217+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
769b1af3-c1e6-45e1-ad89-db58a57e61a2,KRAKHOUSE,PART III: CREAMY/CLUMPY CLOWN CATCHER,2026-08-10T19:57:58.82735+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
947af0ed-fd8b-45eb-a015-729de296838f,Ravaged by the Yeti,Snowbound Horror,2026-07-13T09:32:35.679393+00:00,false,false,not_found,false,false,false,0,,MB search found nothing at all — needs manual look (too new / typo / not on MB / title has noise)
baabc6a4-5c2d-4e82-8aae-6f8ddc9f9bcf,Only Echoes,Born Adrift,2026-08-11T20:04:02.815723+00:00,true,false,ok,true,false,false,0,,"MB knows the release, but genuinely no approved artwork on CAA for any release in the group"
