trace,round,degree,covered,touched,narrow,soft_fill,max_width,tau,tau_published,accuracy,is_boundary,boundary_reason,progress_pct
#1 uniform,1,2,0,2,0,0.052083,1.000000,0.623382,0.612142,,0,,0.00
#1 uniform,2,2,0,3,0,0.104167,1.000000,0.660098,0.647066,,0,,0.00
#1 uniform,3,2,0,4,0,0.156250,1.000000,0.651431,0.639043,,0,,0.00
#1 uniform,4,2,0,5,0,0.208333,1.000000,0.699733,0.687371,,0,,0.00
#1 uniform,5,2,6,6,24,0.250000,0.166667,0.781242,0.767805,,0,,5.00
#1 uniform,6,2,6,6,24,0.250000,0.166667,0.804906,0.791940,,0,,5.00
#1 uniform,7,2,6,6,24,0.250000,0.166667,0.804906,0.791940,,0,,5.00
#1 uniform,8,2,6,6,24,0.250000,0.166667,0.804906,0.791940,,0,,5.00
#1 uniform,9,2,6,6,24,0.250000,0.166667,0.822498,0.807711,,0,,5.00
#1 uniform,10,2,6,6,24,0.250000,0.166667,0.813393,0.797335,,0,,5.00
#1 uniform,11,2,6,6,24,0.250000,0.166667,0.813393,0.797335,,0,,5.00
#1 uniform,12,2,6,6,24,0.250000,0.166667,0.829705,0.813583,,0,,5.00
#1 uniform,13,2,6,6,24,0.250000,0.166667,0.813547,0.797823,,0,,5.00
#1 uniform,14,2,6,6,24,0.250000,0.166667,0.801967,0.788090,,0,,5.00
#1 uniform,15,2,6,6,24,0.250000,0.166667,0.774024,0.760429,,0,,5.00
#1 uniform,16,2,10,10,24,0.416667,0.166667,0.774024,0.760429,,0,,8.33
#1 uniform,17,2,12,12,24,0.500000,0.166667,0.785696,0.768558,,0,,10.00
#1 uniform,18,2,14,14,24,0.583333,0.166667,0.774024,0.760429,,0,,11.67
#1 uniform,19,2,16,16,24,0.666667,0.166667,0.774024,0.760429,,0,,13.33
#1 uniform,20,2,17,17,24,0.708333,0.166667,0.785696,0.768558,,0,,14.17
#1 uniform,21,2,17,17,24,0.708333,0.166667,0.774024,0.760429,,0,,14.17
#1 uniform,22,2,19,19,24,0.791667,0.166667,0.845479,0.832783,,0,,15.83
#1 uniform,23,2,19,19,24,0.791667,0.166667,0.845479,0.832783,,0,,15.83
#1 uniform,24,2,20,20,24,0.833333,0.166667,0.711846,0.698494,,0,,16.67
#1 uniform,25,2,22,22,24,0.916667,0.166667,0.726788,0.714665,,0,,18.33
#1 uniform,26,2,23,23,24,0.958333,0.166667,0.711846,0.698494,,0,,19.17
#1 uniform,27,2,23,23,24,0.958333,0.166667,0.726788,0.714665,,0,,19.17
#1 uniform,28,2,23,23,24,0.958333,0.166667,0.748967,0.736240,,0,,19.17
#1 uniform,29,2,23,23,24,0.958333,0.166667,0.711846,0.698494,,0,,19.17
#1 uniform,30,2,24,24,24,1.000000,0.166667,0.711846,0.698494,0.794841,1,coverage-complete,20.00
#1 uniform,31,3,6,6,24,0.250000,0.166667,0.726788,0.714665,,0,,25.00
#1 uniform,32,3,10,10,24,0.416667,0.166667,0.910414,0.893338,,0,,28.33
#1 uniform,33,3,14,14,24,0.583333,0.166667,0.910414,0.893338,,0,,31.67
#1 uniform,34,3,18,18,24,0.750000,0.166667,0.910414,0.893338,,0,,35.00
#1 uniform,35,3,19,19,24,0.791667,0.166667,0.910414,0.893338,,0,,35.83
#1 uniform,36,3,20,20,24,0.833333,0.166667,0.910414,0.893338,,0,,36.67
#1 uniform,37,3,20,20,24,0.833333,0.166667,0.910414,0.893338,,0,,36.67
#1 uniform,38,3,21,21,24,0.875000,0.166667,0.910414,0.893338,,0,,37.50
#1 uniform,39,3,22,22,24,0.916667,0.166667,0.910414,0.893338,,0,,38.33
#1 uniform,40,3,23,23,24,0.958333,0.166667,0.910414,0.893338,,0,,39.17
#1 uniform,41,3,23,23,24,0.958333,0.083334,0.903847,0.900362,,0,,39.17
#1 uniform,42,3,23,23,24,0.958333,0.083334,0.921250,0.882409,,0,,39.17
