session,n,degree,accuracy,tier,fired,last_change_answer_index,avg_coverage_width,max_coverage_width,total_slack,top10,point_vec
A70,1,2,0.050063,insufficient,false,0,0.916588292,1.000000000,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|2cb7d5e6-de25-45f7-9e35-f64c8fd41321|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6,0.000001000 0.499935820 0.499937234 0.499938649 0.000001000 0.500037552 0.500038967 0.500040381 0.000001000 0.000002414 0.000003828 0.000005243 0.000001000 0.000002414 0.000003828 0.000005243 0.000001000 0.000002414 0.000003828 0.000005243 0.000001000 0.000002414 0.000003828 0.000005243
A70,2,2,0.106407,insufficient,false,0,0.777713208,1.000000000,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|2cb7d5e6-de25-45f7-9e35-f64c8fd41321|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6,0.000000318 0.333297251 0.333297701 0.333298150 0.000000318 0.333397802 0.333398251 0.333398701 0.000000318 0.000000767 0.000001217 0.333298150 0.000000318 0.000000767 0.000001217 0.000001666 0.000000318 0.000000767 0.000001217 0.000001666 0.000000318 0.000000767 0.000001217 0.000001666
A70,3,2,0.192287,insufficient,false,0,0.652568417,0.999802000,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6|f53bda1f-a118-4ee7-be66-69a82b211914,0.000000289 0.000000697 0.000001105 0.249999243 0.000000289 0.000000697 0.000001105 0.250099743 0.000000289 0.000000697 0.000001105 0.249999243 0.000000289 0.249897927 0.249898335 0.249898743 0.000000289 0.000000697 0.000001105 0.000001513 0.000000289 0.000000697 0.000001105 0.000001513
A70,4,2,0.342586,insufficient,false,0,0.491485092,0.999703000,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|2cb7d5e6-de25-45f7-9e35-f64c8fd41321|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6,0.000000183 0.199999290 0.199999549 0.199999808 0.000000183 0.200099607 0.200099866 0.200100125 0.000000183 0.000000442 0.000000701 0.199999808 0.000000183 0.000000442 0.000000701 0.199899491 0.000000183 0.199999290 0.199999549 0.199999808 0.000000183 0.000000442 0.000000701 0.000000959
A70,5,2,0.433812,insufficient,false,0,0.351276642,0.999701500,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|2cb7d5e6-de25-45f7-9e35-f64c8fd41321|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6,0.000000175 0.166682888 0.166683136 0.166683384 0.000000175 0.000000424 0.166783440 0.166783688 0.000000175 0.000000424 0.000000672 0.166683384 0.000000175 0.000000424 0.000000672 0.166583080 0.000000175 0.000000424 0.000000672 0.166683384 0.000000175 0.000000424 0.000000672 0.166583080
A70,6,2,0.433812,insufficient,false,0,0.351276583,0.999701500,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6|f53bda1f-a118-4ee7-be66-69a82b211914,0.000000169 0.000000408 0.000000647 0.166683382 0.000000169 0.000000408 0.000000647 0.166783675 0.000000169 0.000000408 0.000000647 0.166683382 0.166582372 0.166582611 0.166582850 0.166583089 0.000000169 0.000000408 0.000000647 0.166683382 0.166582372 0.166582611 0.166582850 0.166583089
A70,7,2,0.433812,insufficient,false,0,0.351276583,0.999701500,0.000000000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6|f53bda1f-a118-4ee7-be66-69a82b211914,0.000000164 0.000000395 0.000000627 0.166683381 0.000000164 0.000000395 0.000000627 0.166783664 0.000000164 0.000000395 0.000000627 0.166683381 0.166582403 0.166582634 0.166582866 0.166583097 0.000000164 0.000000395 0.000000627 0.166683381 0.166582403 0.166582634 0.166582866 0.166583097
A70,8,2,0.675576,insufficient,false,0,0.205530576,0.250075750,0.000100000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6|f53bda1f-a118-4ee7-be66-69a82b211914,0.000000102 0.000000247 0.000000392 0.166683363 0.000000102 0.000000247 0.000000392 0.166783540 0.000000102 0.000000247 0.000000392 0.166683363 0.000000102 0.000000247 0.000000392 0.166583185 0.000000102 0.000000247 0.000000392 0.166683363 0.000000102 0.000000247 0.000000392 0.166583185
A70,9,2,0.722787,insufficient,false,0,0.159788908,0.200140800,0.000400000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6|f53bda1f-a118-4ee7-be66-69a82b211914,0.000000066 0.000000160 0.000000253 0.166616609 0.000000066 0.000000160 0.000000253 0.166716724 0.000000066 0.000000160 0.000000253 0.166616609 0.000000066 0.000000160 0.000000253 0.166516495 0.000000066 0.000000160 0.000000253 0.166716724 0.000000066 0.000000160 0.000000253 0.166816838
A70,10,2,0.722791,insufficient,false,0,0.159785401,0.200140800,0.000400000,28d4eb6e-90da-46f4-a0f0-3d3343a49ba3|29fd11cd-a3cf-4ead-a1d7-311dd6b8e0cf|2af5876e-26eb-4fdf-910f-dc48657c5959|315c9dd2-fbc9-4c8c-bc7c-a4a37614dc84|422f34a7-7ed9-4d62-a5df-8da3ca6e25e3|74f55ca7-59df-45e6-9b98-ddd52bd27669|8107a1c4-56f7-481c-87ad-c3025320316e|9867b457-c406-4955-8576-b692a26555f0|e44ffad1-8763-48b6-819d-5d2c6df576c6|f53bda1f-a118-4ee7-be66-69a82b211914,0.000000065 0.000000158 0.000000250 0.166666667 0.000000065 0.000000158 0.000000250 0.166766780 0.000000065 0.000000158 0.000000250 0.166666667 0.000000065 0.000000158 0.000000250 0.166566553 0.000000065 0.000000158 0.000000250 0.166766780 0.000000065 0.000000158 0.000000250 0.166566553
