trace,round,degree,criterion,level,width,touched_at_degree
#1 uniform,1,2,0,2,0.500000500,0
#1 uniform,1,2,0,3,0.500000500,0
#1 uniform,1,2,0,4,0.500000500,0
#1 uniform,1,2,0,5,0.500000500,1
#1 uniform,1,2,1,2,0.500000500,0
#1 uniform,1,2,1,3,0.500000500,0
#1 uniform,1,2,1,4,0.500000500,0
#1 uniform,1,2,1,5,0.500000500,1
#1 uniform,1,2,2,2,1.000000000,0
#1 uniform,1,2,2,3,1.000000000,0
#1 uniform,1,2,2,4,1.000000000,0
#1 uniform,1,2,2,5,1.000000000,0
#1 uniform,1,2,3,2,1.000000000,0
#1 uniform,1,2,3,3,1.000000000,0
#1 uniform,1,2,3,4,1.000000000,0
#1 uniform,1,2,3,5,1.000000000,0
#1 uniform,1,2,4,2,1.000000000,0
#1 uniform,1,2,4,3,1.000000000,0
#1 uniform,1,2,4,4,1.000000000,0
#1 uniform,1,2,4,5,1.000000000,0
#1 uniform,1,2,5,2,1.000000000,0
#1 uniform,1,2,5,3,1.000000000,0
#1 uniform,1,2,5,4,1.000000000,0
#1 uniform,1,2,5,5,1.000000000,0
#1 uniform,2,2,0,2,0.333333667,0
#1 uniform,2,2,0,3,0.333333667,0
#1 uniform,2,2,0,4,0.333333667,0
#1 uniform,2,2,0,5,0.333333667,1
#1 uniform,2,2,1,2,0.333334000,0
#1 uniform,2,2,1,3,0.333334000,0
#1 uniform,2,2,1,4,0.333334000,0
#1 uniform,2,2,1,5,0.333334000,1
#1 uniform,2,2,2,2,0.333334000,0
#1 uniform,2,2,2,3,0.333334000,0
#1 uniform,2,2,2,4,0.333334000,0
#1 uniform,2,2,2,5,0.333334000,1
#1 uniform,2,2,3,2,1.000000000,0
#1 uniform,2,2,3,3,1.000000000,0
#1 uniform,2,2,3,4,1.000000000,0
#1 uniform,2,2,3,5,1.000000000,0
#1 uniform,2,2,4,2,1.000000000,0
#1 uniform,2,2,4,3,1.000000000,0
#1 uniform,2,2,4,4,1.000000000,0
#1 uniform,2,2,4,5,1.000000000,0
#1 uniform,2,2,5,2,1.000000000,0
#1 uniform,2,2,5,3,1.000000000,0
#1 uniform,2,2,5,4,1.000000000,0
#1 uniform,2,2,5,5,1.000000000,0
#1 uniform,3,2,0,2,0.250000250,0
#1 uniform,3,2,0,3,0.250000250,0
#1 uniform,3,2,0,4,0.250000250,0
#1 uniform,3,2,0,5,0.250000250,1
#1 uniform,3,2,1,2,0.250000750,0
#1 uniform,3,2,1,3,0.250000750,0
#1 uniform,3,2,1,4,0.250000750,0
#1 uniform,3,2,1,5,0.250000750,1
#1 uniform,3,2,2,2,0.250000750,0
#1 uniform,3,2,2,3,0.250000750,0
#1 uniform,3,2,2,4,0.250000750,0
#1 uniform,3,2,2,5,0.250000750,1
#1 uniform,3,2,3,2,0.250000750,0
#1 uniform,3,2,3,3,0.250000750,0
#1 uniform,3,2,3,4,0.250000750,0
#1 uniform,3,2,3,5,0.250000750,1
#1 uniform,3,2,4,2,1.000000000,0
#1 uniform,3,2,4,3,1.000000000,0
#1 uniform,3,2,4,4,1.000000000,0
#1 uniform,3,2,4,5,1.000000000,0
#1 uniform,3,2,5,2,1.000000000,0
#1 uniform,3,2,5,3,1.000000000,0
#1 uniform,3,2,5,4,1.000000000,0
#1 uniform,3,2,5,5,1.000000000,0
#1 uniform,4,2,0,2,0.200000200,0
#1 uniform,4,2,0,3,0.200000200,0
#1 uniform,4,2,0,4,0.200000200,0
#1 uniform,4,2,0,5,0.200000200,1
#1 uniform,4,2,1,2,0.200000800,0
#1 uniform,4,2,1,3,0.200000800,0
#1 uniform,4,2,1,4,0.200000800,0
#1 uniform,4,2,1,5,0.200000800,1
#1 uniform,4,2,2,2,0.200000800,0
#1 uniform,4,2,2,3,0.200000800,0
#1 uniform,4,2,2,4,0.200000800,0
#1 uniform,4,2,2,5,0.200000800,1
#1 uniform,4,2,3,2,0.200000800,0
#1 uniform,4,2,3,3,0.200000800,0
#1 uniform,4,2,3,4,0.200000800,0
#1 uniform,4,2,3,5,0.200000800,1
