n,degree,result,accuracy,tier,fired,last_change_answer_index
1,2,b_preferred,0.050063,insufficient,false,0
2,2,a_preferred,0.104156,insufficient,false,0
3,2,a_preferred,0.184688,insufficient,false,0
4,2,equal,0.321754,insufficient,false,0
5,2,a_preferred,0.396963,insufficient,false,0
6,2,equal,0.675516,insufficient,false,0
7,2,a_preferred,0.675524,insufficient,false,0
8,2,a_preferred,0.675545,insufficient,false,0
9,2,a_preferred,0.675545,insufficient,false,0
10,2,b_preferred,0.718854,insufficient,false,0
11,2,b_preferred,0.718854,insufficient,false,0
12,2,a_preferred,0.718879,insufficient,false,0
13,2,a_preferred,0.718911,insufficient,false,0
14,2,b_preferred,0.756299,high,false,14
15,2,a_preferred,0.756299,high,false,15
16,2,a_preferred,0.757906,high,false,16
17,2,a_preferred,0.757936,high,false,16
18,2,a_preferred,0.757969,high,false,18
19,2,b_preferred,0.759578,high,false,19
20,2,b_preferred,0.759987,high,false,20
21,2,b_preferred,0.760084,high,false,21
22,2,a_preferred,0.760104,high,false,22
23,2,a_preferred,0.760135,high,false,23
24,2,b_preferred,0.760158,high,false,24
25,2,b_preferred,0.760188,high,false,25
26,2,a_preferred,0.760206,high,false,26
27,2,b_preferred,0.761024,high,false,27
28,2,a_preferred,0.761880,high,false,27
29,3,b_preferred,0.763462,high,false,29
30,3,b_preferred,0.779717,high,false,29
31,3,a_preferred,0.780513,high,false,31
32,3,b_preferred,0.784081,high,false,32
33,3,b_preferred,0.784878,high,false,33
34,3,b_preferred,0.790638,high,false,34
35,3,b_preferred,0.790638,high,false,35
36,3,b_preferred,0.794599,high,false,36
37,3,b_preferred,0.805409,high,false,37
38,3,equal,0.820032,high,false,38
39,3,equal,0.832872,high,false,39
40,3,b_preferred,0.835988,high,false,39
41,3,a_preferred,0.871645,veryHigh,false,39
42,3,b_preferred,0.874154,veryHigh,false,42
43,3,b_preferred,0.922667,veryHigh,false,43
44,3,b_preferred,0.924836,veryHigh,false,44
45,3,b_preferred,0.924932,veryHigh,false,45
46,3,b_preferred,0.926785,veryHigh,false,45
47,3,a_preferred,0.928784,veryHigh,false,45
48,3,equal,0.941169,veryHigh,false,45
49,3,a_preferred,0.943630,veryHigh,false,45
50,4,b_preferred,0.946029,veryHigh,false,45
51,4,b_preferred,0.960492,veryHigh,false,45
52,4,a_preferred,0.960718,veryHigh,false,45
53,4,b_preferred,0.964578,veryHigh,false,45
54,4,a_preferred,0.966059,veryHigh,false,45
55,4,a_preferred,0.988394,veryHigh,false,45
56,4,a_preferred,0.989220,veryHigh,false,45
57,4,a_preferred,0.999947,veryHigh,true,45
58,4,a_preferred,0.999948,veryHigh,true,45
59,4,b_preferred,0.999948,veryHigh,true,45
60,4,b_preferred,0.999948,veryHigh,true,45
61,4,b_preferred,0.999948,veryHigh,true,45
62,4,a_preferred,0.999948,veryHigh,true,45
63,4,equal,0.999955,veryHigh,true,45
64,4,a_preferred,0.999980,veryHigh,true,45
65,4,equal,0.999962,veryHigh,true,45
66,4,b_preferred,0.999980,veryHigh,true,45
67,4,equal,0.999980,veryHigh,true,45
68,4,a_preferred,0.999980,veryHigh,true,45
69,4,b_preferred,0.999980,veryHigh,true,45
70,4,b_preferred,0.999980,veryHigh,true,45
71,4,b_preferred,0.999977,veryHigh,true,45
